Código;Ação;Tipo;Qtde. Teórica;Part. (%)
TASA4;TAURUS ARMAS;PN      N2;68.454.123;0,352;
TGMA3;TEGMA;ON      NM;32.001.379;0,300;
TEND3;TENDA;ON      NM;118.249.595;0,554;
TRIS3;TRISUL;ON      NM;71.441.396;0,140;
TUPY3;TUPY;ON      NM;67.461.415;0,599;
UNIP6;UNIPAR;PNB;45.770.287;1,203;
USIM5;USIMINAS;PNA     N1;515.117.391;1,414;
VLID3;VALID;ON      NM;77.300.098;0,499;
VIVA3;VIVARA S.A.;ON      NM;107.725.671;1,056;
VULC3;VULCABRAS;ON      NM;73.322.347;0,528;
WIZC3;WIZ CO;ON      NM;75.273.443;0,155;
YDUQ3;YDUQS PART;ON      NM;289.347.914;1,980;
ZAMP3;ZAMP S.A.;ON      NM;264.114.225;0,568;
Quantidade Teórica Total;;;27.731.199.250;100,000
Redutor;;;131.004.271,41498179
